step	loss
0	0.956719696521759
1	0.05854546278715134
2	0.012203577905893326
3	0.00431697815656662
4	0.0019432472763583064
5	0.21312053501605988
6	0.4320259690284729
7	0.0007345849880948663
8	0.4540256857872009
9	0.000984679558314383
10	0.9153831601142883
11	0.910836398601532
12	0.279910147190094
13	0.15204311907291412
14	1.0079854726791382
15	1.3298354148864746
16	0.3023136854171753
17	0.4264892041683197
18	0.7234002351760864
19	0.550977349281311
20	0.5193667411804199
21	0.6623154282569885
22	0.6390140056610107
23	0.400357723236084
24	0.38359910249710083
25	0.9215027093887329
26	1.0491925477981567
27	0.9668274521827698
28	0.6223931312561035
29	0.3579775094985962
30	0.48914939165115356
31	0.5632678270339966
32	0.6373958587646484
33	0.4723548889160156
34	0.4566155970096588
35	0.47044816613197327
36	0.4292265772819519
37	0.622388482093811
38	0.4292076528072357
39	0.5118191838264465
40	0.4055103063583374
41	0.5273411273956299
42	0.3177593946456909
43	0.3695825934410095
44	0.9724146127700806
45	0.37587136030197144
46	0.6004008054733276
47	0.5216885209083557
48	0.7345827221870422
49	0.6926695704460144
50	0.7306154370307922
51	0.569138765335083
52	0.6044831275939941
53	0.49498361349105835
54	0.5038486123085022
55	0.5615943074226379
56	0.5032495260238647
57	0.2999603748321533
58	0.597612202167511
59	0.5485450625419617
60	0.5189411044120789
61	0.5416518449783325
62	0.337857723236084
63	0.5140393376350403
64	0.45362359285354614
65	0.45820456743240356
66	0.6181374788284302
67	0.5482919216156006
68	0.5623455047607422
69	0.4904365539550781
70	0.7177920937538147
71	0.36735033988952637
72	0.2336498200893402
73	0.1613265573978424
74	0.09337273240089417
75	0.04405181109905243
76	0.026728328317403793
77	0.013074981048703194
78	0.007969471625983715
79	0.18961207568645477
80	0.23959368467330933
81	0.16324599087238312
82	0.3718935251235962
83	1.0451114177703857
84	0.5650807619094849
85	0.6069982051849365
86	0.003653027582913637
87	0.8618372678756714
88	1.0912437438964844
89	0.4222491979598999
90	1.2518856525421143
91	0.6861923933029175
92	0.39865660667419434
93	0.47551286220550537
94	0.8036134243011475
95	0.6730812788009644
96	0.7061846256256104
97	0.6879728436470032
98	0.5233402848243713
99	0.9720004796981812
100	0.49663013219833374
101	0.785947859287262
102	0.6075389385223389
103	0.5574380159378052
104	0.49968332052230835
105	0.5153299570083618
106	0.7735303640365601
107	0.5824697017669678
108	0.5338091254234314
109	0.48183202743530273
110	0.5149783492088318
111	0.4381774365901947
112	0.5948387384414673
113	0.40426987409591675
114	0.6352251768112183
115	0.5149529576301575
116	0.5191336870193481
117	0.5884880423545837
118	0.6276307702064514
119	0.6558539867401123
120	0.5326904654502869
121	0.40459108352661133
122	0.5043922662734985
123	0.31730908155441284
124	0.28271570801734924
125	0.9793939590454102
126	0.8477258682250977
127	0.5312473177909851
128	0.44754788279533386
129	0.4312775135040283
130	0.5528726577758789
131	0.5580061674118042
132	0.49687010049819946
133	0.707973301410675
134	0.3124426603317261
135	0.5864847302436829
136	0.3306739330291748
137	0.502672553062439
138	0.3873681426048279
139	0.29979294538497925
140	0.30907827615737915
141	0.5659891366958618
142	0.543828547000885
143	0.3182116448879242
144	0.16960838437080383
145	0.13567402958869934
146	0.10703624784946442
147	0.04866071790456772
148	0.029380524531006813
149	0.015541968867182732
150	0.36852726340293884
151	0.15446597337722778
152	0.43700116872787476
153	0.005790852941572666
154	0.17880967259407043
155	0.09955140948295593
156	1.1432642936706543
157	0.5047711133956909
158	0.23323291540145874
159	0.7590398192405701
160	0.7285091876983643
161	0.48957931995391846
162	0.42386773228645325
163	0.4611368775367737
164	0.3526323437690735
165	0.3841480016708374
166	0.39976435899734497
167	0.86885666847229
168	0.5457320213317871
169	0.5070089101791382
170	0.6372253894805908
171	0.5593140721321106
172	0.5551213026046753
173	0.5455281734466553
174	0.3791215419769287
175	0.2574504613876343
176	0.2645023465156555
177	0.7812148928642273
178	0.439058780670166
179	0.6481901407241821
180	0.4378986060619354
181	1.2837841510772705
182	0.44378048181533813
183	1.149372935295105
184	0.3820434808731079
185	0.4517938792705536
186	0.5310922861099243
187	0.39354464411735535
188	0.4882907271385193
189	0.5537798404693604
190	0.5310669541358948
191	0.37861400842666626
192	0.6909182667732239
193	0.8446989059448242
194	0.725633978843689
195	0.5827507972717285
196	0.518426775932312
197	0.5240230560302734
198	0.4614742398262024
199	0.5515199899673462
200	0.40348660945892334
201	0.5398215055465698
202	0.5539233088493347
203	0.4471968412399292
204	0.31709718704223633
205	0.5008507966995239
206	0.6384108066558838
207	0.40132424235343933
208	0.42078131437301636
