step	train_loss
72	4.539852619171143
144	3.7887628078460693
216	3.3827321529388428
288	4.243154525756836
360	4.834909439086914
432	16.70256233215332
504	16.060264587402344
576	8.473645210266113
648	19.245027542114258
720	6.222612380981445
792	5.778105735778809
864	12.460192680358887
936	10.331758499145508
1008	10.331650733947754
1080	10.753832817077637
1152	27.15994644165039
1224	10.098494529724121
1296	13.940871238708496
1368	11.279414176940918
1440	12.233461380004883
1512	6.402853012084961
1584	63.139286041259766
1656	10.05406665802002
1728	7.459124565124512
1800	16.684621810913086
1872	12.048422813415527
1944	11.073749542236328
2016	9.409567832946777
2088	38.92544937133789
2160	11.233163833618164
2232	10.263227462768555
2304	14.352147102355957
2376	16.663681030273438
2448	24.374448776245117
2520	10.055631637573242
2592	16.248416900634766
2664	21.817138671875
2736	4.277199745178223
2808	11.111879348754883
2880	2.9110982418060303
2952	4.023283004760742
3024	0.007537487428635359
3096	0.7958362102508545
3168	4.038387298583984
3240	6.1867170333862305
3312	0.7130053043365479
3384	3.7290899753570557
3456	0.06693365424871445
3528	0.5342786312103271
3600	0.6428453326225281
3672	0.6971125602722168
3744	1.5899500846862793
3816	1.3589736223220825
3888	0.8204517364501953
3960	2.407731771469116
4032	0.006323220208287239
4104	8.659353256225586
4176	0.012127073481678963
4248	0.4174620807170868
4320	0.0007906121318228543
4392	3.872011184692383
4464	14.493786811828613
4536	9.289567947387695
4608	24.2271785736084
4680	68.89982604980469
4752	0.12420255690813065
4824	9.730498313903809
4896	6.434717655181885
4968	2.4786155223846436
5040	0.005283384118229151
5112	0.0015905702020972967
5184	0.0011841758387163281
5256	0.022699937224388123
5328	0.0019308836199343204
5400	3.424028158187866
5472	0.08464360982179642
5544	0.009772696532309055
5616	0.006268173921853304
5688	0.0020644317846745253
5760	0.0008847221615724266
5832	0.0009704772965051234
5904	0.0006657303310930729
5976	0.0007891145651228726
6048	0.0006662779487669468
6120	0.000706188497133553
6192	0.0007562597747892141
6264	0.0007849232060834765
6336	0.0008632171666249633
6408	0.0006586466915905476
6480	0.0007193881319835782
6552	0.0006730627501383424
6624	0.0006557722226716578
6696	0.0007592557230964303
6768	0.0007065159734338522
6840	0.0007168519077822566
6912	0.0007000911864452064
6984	0.00074562564259395
7056	0.0007300184806808829
7128	0.0007100006332620978
7200	0.0006893504178151488
