step	accuracy
471	0.9375
472	0.875
473	0.9375
474	0.75
475	0.8125
476	0.84375
477	0.9375
478	0.78125
479	0.875
480	0.9375
481	0.90625
482	0.8125
483	0.8125
484	0.90625
485	1.0
486	0.78125
487	0.96875
488	0.96875
489	0.78125
490	0.75
491	0.8125
492	0.90625
493	0.84375
494	0.8125
495	0.78125
496	0.9375
497	0.71875
498	0.8125
499	0.90625
500	0.90625
501	0.78125
502	0.8125
503	0.8666667342185974
504	0.84375
505	0.96875
506	0.9375
507	1.0
508	0.96875
509	0.9375
510	0.9375
511	0.96875
512	0.96875
513	1.0
514	0.90625
515	0.84375
516	1.0
517	0.84375
518	0.90625
519	0.84375
520	0.84375
521	0.71875
522	0.65625
523	0.875
524	0.75
525	0.8125
526	0.84375
527	0.75
528	0.8125
529	0.75
530	0.78125
531	0.90625
532	0.8125
533	0.90625
534	0.75
535	0.71875
536	0.96875
537	0.78125
538	0.8125
539	0.8125
540	0.90625
541	0.9375
542	0.75
543	0.9375
544	0.84375
545	0.875
546	0.78125
547	0.8125
548	0.8125
549	0.875
550	0.875
551	0.84375
552	0.9375
553	0.71875
554	0.75
555	0.78125
556	0.8125
557	0.9375
558	0.90625
559	0.90625
560	0.8125
561	0.9375
562	0.75
563	0.75
564	0.90625
565	0.90625
566	0.65625
567	0.8125
568	0.84375
569	0.875
570	0.875
571	0.90625
572	0.90625
573	0.96875
574	0.90625
575	0.8000000715255737
576	0.875
577	0.9375
578	0.9375
579	1.0
580	1.0
581	0.9375
582	0.96875
583	0.90625
584	0.9375
585	0.875
586	0.6875
587	1.0
588	0.96875
589	0.875
590	0.90625
591	0.90625
592	0.90625
593	0.84375
594	0.84375
595	0.875
596	0.625
597	0.6875
598	0.84375
599	0.84375
600	0.84375
601	0.875
602	0.8125
603	0.90625
604	0.90625
605	0.90625
606	0.9375
607	0.90625
608	0.90625
609	0.9375
610	0.78125
611	0.84375
612	0.90625
613	0.78125
614	0.71875
615	0.84375
616	0.875
617	0.90625
618	0.84375
619	0.8125
620	0.71875
621	0.875
622	0.78125
623	0.84375
624	0.6875
625	0.8125
626	0.8125
627	0.78125
628	0.875
629	0.90625
630	0.90625
631	0.8125
632	0.78125
633	0.875
634	0.875
635	0.96875
636	0.8125
637	0.78125
638	1.0
639	0.90625
640	0.90625
641	0.71875
642	0.9375
643	0.8125
644	0.90625
645	0.8125
646	0.875
647	0.8666667342185974
648	0.875
649	0.84375
650	1.0
651	0.96875
652	0.96875
653	1.0
654	0.84375
655	0.84375
656	0.90625
657	1.0
658	0.8125
659	0.875
660	0.90625
661	0.78125
662	0.78125
663	0.875
664	0.96875
665	0.875
666	0.84375
667	0.96875
668	0.9375
669	0.9375
670	0.78125
671	0.84375
672	0.84375
673	0.875
674	0.9375
675	0.96875
676	0.9375
677	0.875
678	0.875
679	0.8125
680	0.8125
681	0.90625
682	0.84375
683	0.90625
684	0.875
685	0.90625
686	0.8125
687	0.84375
688	0.9375
689	0.65625
690	0.9375
691	0.78125
692	0.875
693	0.875
694	0.8125
695	0.875
696	0.9375
697	0.8125
698	0.96875
699	1.0
700	0.90625
701	0.84375
702	0.90625
703	0.8125
704	0.96875
705	0.9375
706	0.90625
707	0.875
708	0.8125
709	0.9375
710	0.90625
711	0.75
712	0.84375
713	0.8125
714	0.875
715	0.84375
716	0.84375
717	0.875
718	0.90625
719	0.9333333969116211
720	0.9375
721	0.90625
722	0.875
723	0.90625
724	1.0
725	1.0
726	0.96875
727	0.90625
728	0.8125
729	0.96875
730	0.96875
731	0.96875
732	0.90625
733	0.84375
734	0.75
735	0.78125
736	0.96875
737	0.96875
738	0.96875
739	0.96875
740	0.65625
741	0.78125
742	0.90625
743	0.9375
744	1.0
745	0.71875
746	0.84375
747	0.875
748	0.8125
749	0.8125
750	0.875
751	0.84375
752	0.9375
753	0.875
754	0.78125
755	0.875
756	0.90625
757	0.90625
758	0.96875
759	0.9375
760	0.9375
761	0.9375
762	0.84375
763	0.6875
764	0.9375
765	0.90625
766	0.9375
767	0.90625
768	0.84375
769	0.875
770	0.84375
771	0.84375
772	0.875
773	0.96875
774	0.75
775	0.96875
776	0.96875
777	0.875
778	0.71875
779	0.90625
780	0.84375
781	0.78125
782	0.8125
783	0.90625
784	0.875
785	0.75
786	0.875
787	0.96875
788	0.9375
789	0.9375
790	0.9375
791	0.8000000715255737
792	0.9375
793	0.9375
794	0.9375
795	0.90625
796	1.0
797	1.0
798	0.9375
799	0.96875
800	0.90625
801	0.9375
802	0.8125
803	0.8125
