step	train_balanced_loss
72	4.049379348754883
144	3.5968868732452393
216	2.9299416542053223
288	3.8151633739471436
360	5.338928699493408
432	16.069841384887695
504	13.898551940917969
576	6.502476215362549
648	17.944074630737305
720	6.064628601074219
792	8.50590705871582
864	9.872136116027832
936	8.167856216430664
1008	10.016979217529297
1080	10.179142951965332
1152	26.682985305786133
1224	7.822498798370361
1296	11.506101608276367
1368	11.029609680175781
1440	14.803762435913086
1512	7.7541303634643555
1584	55.73967361450195
1656	8.240917205810547
1728	7.314903259277344
1800	14.761488914489746
1872	10.295536041259766
1944	13.666799545288086
2016	8.645060539245605
2088	36.75531005859375
2160	8.762231826782227
2232	11.880687713623047
2304	19.458330154418945
2376	13.974672317504883
2448	22.85747718811035
2520	12.748129844665527
2592	14.928239822387695
2664	18.68889617919922
2736	5.867908954620361
2808	10.013983726501465
2880	4.316895484924316
2952	5.972746849060059
3024	0.011120013892650604
3096	1.1553703546524048
3168	6.234490871429443
3240	5.993194580078125
3312	0.939834475517273
3384	3.9775822162628174
3456	0.09123627096414566
3528	0.4789533317089081
3600	0.9052248001098633
3672	0.9772304892539978
3744	2.334444046020508
3816	1.569864273071289
3888	1.192444920539856
3960	2.9470150470733643
4032	0.00860163476318121
4104	9.108424186706543
4176	0.014948406256735325
4248	0.5874801874160767
4320	0.0007163753034546971
4392	6.19012975692749
4464	19.488449096679688
4536	7.587884902954102
4608	22.336973190307617
4680	64.21688842773438
4752	0.16672590374946594
4824	9.814699172973633
4896	7.996997356414795
4968	3.3604986667633057
5040	0.007181318011134863
5112	0.0012669127900153399
5184	0.0010621846886351705
5256	0.032516662031412125
5328	0.0021190638653934
5400	3.73785400390625
5472	0.18447136878967285
5544	0.019345717504620552
5616	0.010379479266703129
5688	0.0027906226459890604
5760	0.0005670126411132514
5832	0.00076167011866346
5904	0.00045635958667844534
5976	0.0004988936707377434
6048	0.0004786649369634688
6120	0.0005693173734471202
6192	0.0006202333024702966
6264	0.000655143812764436
6336	0.0007325279293581843
6408	0.00045058224350214005
6480	0.0004801821196451783
6552	0.0004522710805758834
6624	0.0004442363861016929
6696	0.0004707558255176991
6768	0.0004522297531366348
6840	0.0004517367633525282
6912	0.000444757315563038
6984	0.0004637078382074833
7056	0.0004601266118697822
7128	0.00044868752593174577
7200	0.00044707118649967015
