step	train_accuracy
72	0.15435068309307098
144	0.16134674847126007
216	0.0450371690094471
288	0.05159597843885422
360	0.08307827264070511
432	0.07127241045236588
504	0.07127241045236588
576	0.0341058149933815
648	0.07214692234992981
720	0.08351552486419678
792	0.17402711510658264
864	0.05553126707673073
936	0.09488412737846375
1008	0.11893310397863388
1080	0.05902929604053497
1152	0.07302142679691315
1224	0.06209007650613785
1296	0.05465675890445709
1368	0.1049409732222557
1440	0.09750765562057495
1512	0.20550940930843353
1584	0.024048972874879837
1656	0.04897245392203331
1728	0.09357237070798874
1800	0.052033234387636185
1872	0.054219502955675125
1944	0.2098819464445114
2016	0.06558810919523239
2088	0.07258417457342148
2160	0.06515085697174072
2232	0.07608220726251602
2304	0.2033231407403946
2376	0.03366856276988983
2448	0.08351552486419678
2520	0.21031920611858368
2592	0.08963707834482193
2664	0.033231306821107864
2736	0.33624836802482605
2808	0.11718408763408661
2880	0.47135987877845764
2952	0.3699169456958771
3024	0.9982510209083557
3096	0.7975513935089111
3168	0.37297770380973816
3240	0.1867074817419052
3312	0.8128553032875061
3384	0.4420638382434845
3456	0.9798863530158997
3528	0.8561434149742126
3600	0.8425885438919067
3672	0.8216003775596619
3744	0.7092260718345642
3816	0.7135986089706421
3888	0.8207258582115173
3960	0.5168343186378479
4032	0.9978137612342834
4104	0.18845650553703308
4176	0.9965019822120667
4248	0.8740708827972412
4320	0.9995627999305725
4392	0.37560123205184937
4464	0.20769567787647247
4536	0.12243113666772842
4608	0.02754700556397438
4680	0.024048972874879837
4752	0.9602099061012268
4824	0.133799746632576
4896	0.27066025137901306
4968	0.5483165979385376
5040	0.998688280582428
5112	0.9995627999305725
5184	0.9995627999305725
5256	0.9934412240982056
5328	0.9995627999305725
5400	0.41539135575294495
5472	0.9755138158798218
5544	0.9969392418861389
5616	0.9978137612342834
5688	0.9995627999305725
5760	0.9995627999305725
5832	0.9995627999305725
5904	0.9995627999305725
5976	0.9995627999305725
6048	0.9995627999305725
6120	0.9995627999305725
6192	0.9995627999305725
6264	0.9995627999305725
6336	0.9995627999305725
6408	0.9995627999305725
6480	0.9995627999305725
6552	0.9995627999305725
6624	0.9995627999305725
6696	0.9995627999305725
6768	0.9995627999305725
6840	0.9995627999305725
6912	0.9995627999305725
6984	0.9995627999305725
7056	0.9995627999305725
7128	0.9995627999305725
7200	0.9995627999305725
