step	balanced_loss
0	1.6535406112670898
1	1.186608910560608
2	1.4418306350708008
3	1.2147672176361084
4	1.1786715984344482
5	2.2930119037628174
6	2.0851082801818848
7	1.3370143175125122
8	1.9230303764343262
9	1.2544138431549072
10	2.883242607116699
11	3.870143413543701
12	1.827704906463623
13	2.464752197265625
14	3.433657646179199
15	4.4915924072265625
16	4.021997451782227
17	2.3486850261688232
18	4.755620956420898
19	2.6066997051239014
20	5.057651996612549
21	3.7169911861419678
22	2.708192825317383
23	2.2759904861450195
24	2.435337781906128
25	4.033987045288086
26	3.8905117511749268
27	3.5429158210754395
28	2.9643607139587402
29	2.1799075603485107
30	2.79669451713562
31	2.625197410583496
32	4.009564399719238
33	2.5859827995300293
34	2.7379915714263916
35	3.8104019165039062
36	2.983647108078003
37	4.412644863128662
38	2.775007724761963
39	3.3341591358184814
40	2.842151403427124
41	2.641300916671753
42	3.0875720977783203
43	2.7869982719421387
44	4.094427108764648
45	1.7365795373916626
46	3.4214508533477783
47	2.3809878826141357
48	3.5047736167907715
49	3.563558578491211
50	2.8060150146484375
51	4.337716102600098
52	2.6833529472351074
53	2.285252571105957
54	2.776914119720459
55	2.676196575164795
56	2.7023496627807617
57	2.73637056350708
58	3.049621105194092
59	2.9161550998687744
60	3.2433784008026123
61	2.761786937713623
62	1.694544792175293
63	3.8432347774505615
64	2.8528287410736084
65	2.1585092544555664
66	4.3169450759887695
67	3.5874786376953125
68	3.099412441253662
69	2.3138203620910645
70	2.857571601867676
71	2.3732049465179443
72	1.6741116046905518
73	1.3651928901672363
74	1.4374322891235352
75	1.5280959606170654
76	1.2608307600021362
77	1.527915596961975
78	1.7073638439178467
79	1.2006359100341797
80	3.4360313415527344
81	1.9978609085083008
82	1.900132417678833
83	2.2851319313049316
84	3.0929226875305176
85	1.9737836122512817
86	2.406214952468872
87	2.3964569568634033
88	6.656116008758545
89	4.584455966949463
90	5.199249267578125
91	2.98061203956604
92	3.9562759399414062
93	2.661519765853882
94	2.729553699493408
95	2.371394157409668
96	2.140428066253662
97	2.9324209690093994
98	2.2685139179229736
99	4.221468925476074
100	3.4294590950012207
101	3.0012829303741455
102	2.8001930713653564
