step	train_balanced_accuracy
72	0.2559361755847931
144	0.38333606719970703
216	0.4266267418861389
288	0.5348640084266663
360	0.6625556945800781
432	0.6506540775299072
504	0.75931316614151
576	0.7466675043106079
648	0.8119792342185974
720	0.8452946543693542
792	0.8630077242851257
864	0.8854954838752747
936	0.9282553195953369
1008	0.9501761198043823
1080	0.9313700199127197
1152	0.9471637010574341
1224	0.9749925136566162
1296	0.9778375625610352
1368	0.972423255443573
1440	0.9579593539237976
1512	0.9919584393501282
1584	0.9928547143936157
1656	0.9510141015052795
1728	0.9902446269989014
1800	0.9842267632484436
1872	0.9843069314956665
1944	0.9889117479324341
2016	0.9837298393249512
2088	0.9693188071250916
2160	0.9630166292190552
2232	0.9889866709709167
2304	0.9883432984352112
2376	0.990898609161377
2448	0.9967153072357178
2520	0.9996667504310608
2592	0.9997747540473938
2664	0.9977121353149414
2736	0.9997747540473938
2808	0.9996667504310608
2880	0.9997747540473938
2952	1.0
3024	0.9997747540473938
3096	0.9969906210899353
3168	0.9995982050895691
3240	0.9994902014732361
3312	0.9935722947120667
3384	0.9669314026832581
3456	0.9897599816322327
3528	0.9960331320762634
3600	0.998173713684082
3672	0.9917870759963989
3744	0.9943577647209167
3816	0.996645450592041
3888	0.998977541923523
3960	0.9990405440330505
4032	0.9969263076782227
4104	0.994866132736206
4176	0.9996667504310608
4248	0.9997747540473938
4320	0.9996667504310608
4392	0.9997747540473938
4464	0.9921198487281799
4536	0.9984849095344543
4608	0.9981515407562256
4680	0.9982596635818481
4752	0.9981515407562256
4824	0.9982596635818481
4896	0.9984849095344543
4968	0.9984849095344543
5040	0.9982596635818481
5112	1.0
5184	0.9996667504310608
5256	0.9997747540473938
5328	0.9996667504310608
5400	0.9984849095344543
5472	1.0
5544	0.9984849095344543
5616	0.9984849095344543
5688	0.9981515407562256
5760	0.9979967474937439
5832	0.9978886842727661
5904	0.9982219934463501
5976	0.9982219934463501
6048	0.9982219934463501
6120	0.9982219934463501
6192	0.9979967474937439
6264	0.9982219934463501
6336	0.9982219934463501
6408	0.9982219934463501
6480	0.9982219934463501
6552	0.9982219934463501
6624	0.9982219934463501
6696	0.9982219934463501
6768	0.9982219934463501
6840	0.9982219934463501
6912	0.9982219934463501
6984	0.9982219934463501
7056	0.9982219934463501
7128	0.9982219934463501
7200	0.9982219934463501
